"Country Name";"Country Code";"anno";"pibpc_ppp";"population";"gdp";"co2";"total_ghg";"continent";"co2pc";"region";"fit";"lwr";"upr"
"Aruba";"ABW";2021;42698,3598724311;106543;NA;0,858;NA;"Americas";0,00000805308654721568;"Latin America & Caribbean";0,00000710237374380374;0,00000634327943144951;0,00000786146805615797
"Afghanistan";"AFG";2021;1665,80584219752;40099460;NA;11,874;NA;"Asia";0,000000296113713251999;"South Asia";0,00000132147567945241;0,000000533863246912289;0,00000210908811199253
"Angola";"AGO";2021;6491,12557839236;34503776;NA;21,363;NA;"Africa";0,00000061914962582646;"Sub-Saharan Africa";0,00000200129398913627;0,00000128687983999873;0,00000271570813827381
"Albania";"ALB";2021;15709,2512649123;2854710;NA;4,619;NA;"Europe";0,00000161802775062966;"Europe & Central Asia";0,00000329999562245127;0,00000268520059445189;0,00000391479065045065
"United Arab Emirates";"ARE";2021;76609,1979999204;9365149;NA;204,087;NA;"Asia";0,0000217921786401903;"Middle East & North Africa";0,0000118799242308461;0,000010443395788084;0,0000133164526736082
"Argentina";"ARG";2021;23649,670296221;45276788;NA;186,448;NA;"Americas";0,00000411795995776025;"Latin America & Caribbean";0,00000441868672255703;0,00000383080372520123;0,00000500656971991283
"Armenia";"ARM";2021;15592,4873567251;2790971;NA;6,806;NA;"Asia";0,00000243857782828987;"Europe & Central Asia";0,00000328354526329673;0,00000266790496120194;0,00000389918556539152
"Antigua and Barbuda";"ATG";2021;21010,0035741979;93229;NA;0,469;NA;"Americas";0,00000503062351843311;"Latin America & Caribbean";0,00000404679555944219;0,00000345690041114539;0,00000463669070773898
"Australia";"AUS";2021;56281,3786512376;25921094;NA;391,187;NA;"Oceania";0,0000150914540875474;"East Asia & Pacific";0,00000901602617958908;0,00000801281157393027;0,0000100192407852479
"Austria";"AUT";2021;58430,6402512873;8922086;NA;64,626;NA;"Europe";0,00000724337335461685;"Europe & Central Asia";0,00000931882629810857;0,00000827250529684474;0,0000103651472993724
"Azerbaijan";"AZE";2021;15854,5508382533;10312992;NA;38,493;NA;"Asia";0,00000373247647239521;"Europe & Central Asia";0,00000332046624735215;0,00000270670609354601;0,00000393422640115828
"Burundi";"BDI";2021;774,54289094215;12551215;NA;0,693;NA;"Africa";0,0000000552137781083345;"Sub-Saharan Africa";0,00000119590951883896;0,000000393602890765081;0,00000199821614691285
"Belgium";"BEL";2021;58905,1637841184;11611416;NA;95,722;NA;"Europe";0,0000082437835316554;"Europe & Central Asia";0,00000938567985468736;0,00000832972527953692;0,0000104416344298378
"Benin";"BEN";2021;3649,04065049671;12996901;NA;7,756;NA;"Africa";0,000000596757642456459;"Sub-Saharan Africa";0,00000160088500542328;0,000000844733383675506;0,00000235703662717106
"Burkina Faso";"BFA";2021;2394,70536478773;22100690;NA;5,698;NA;"Africa";0,000000257820004714785;"Sub-Saharan Africa";0,00000142416716280837;0,000000648322540579347;0,0000022000117850374
"Bangladesh";"BGD";2021;6493,80939271608;169356240;NA;93,176;NA;"Asia";0,000000550177542911912;"South Asia";0,00000200167210006296;0,00000128729531242247;0,00000271604888770346
"Bulgaria";"BGR";2021;27926,1092195085;6885864;NA;42,56;NA;"Europe";0,00000618077847601986;"Europe & Central Asia";0,00000502117560189253;0,00000442159132744614;0,00000562075987633893
"Bahrain";"BHR";2021;54256,7714345513;1463266;NA;39,016;NA;"Asia";0,0000266636414705187;"Middle East & North Africa";0,00000873078807495172;0,00000776731389615964;0,0000096942622537438
"Bahamas, The";"BHS";2021;33188,7324722864;407920;NA;2,386;NA;"Americas";0,0000058491861149245;"Latin America & Caribbean";0,00000576260370195616;0,00000512487244711159;0,00000640033495680073
"Bosnia and Herzegovina";"BIH";2021;17376,6082401412;3270948;NA;13,566;NA;"Europe";0,00000414742148147876;"Europe & Central Asia";0,00000353490229444594;0,00000293082869038602;0,00000413897589850585
"Belarus";"BLR";2021;21698,5740886624;9578172;NA;59,602;NA;"Europe";0,00000622269050921199;"Europe & Central Asia";0,00000414380526425618;0,00000355511813311454;0,00000473249239539783
"Belize";"BLZ";2021;9626,57357080288;400037;NA;0,689;NA;"Americas";0,00000172234068348678;"Latin America & Caribbean";0,00000244303361901271;0,00000176930338284559;0,00000311676385517982
"Bermuda";"BMU";2021;88185,4658683497;64213;NA;0,548;NA;"Americas";0,00000853409745690125;"North America";0,0000135108542593232;0,0000118117054790622;0,0000152100030395841
"Bolivia";"BOL";2021;8846,08196476077;12079474;NA;23,322;NA;"Americas";0,00000193071320820758;"Latin America & Caribbean";0,00000233307355142133;0,00000164979585218203;0,00000301635125066063
"Brazil";"BRA";2021;16031,0861728725;214326224;NA;488,881;NA;"Americas";0,00000228101345171835;"Latin America & Caribbean";0,00000334533754279815;0,00000273280927880082;0,00000395786580679548
"Barbados";"BRB";2021;15110,9573312342;281204;NA;1,125;NA;"Americas";0,0000040006543292414;"Latin America & Caribbean";0,00000321570459244216;0,00000259645110991856;0,00000383495807496576
"Brunei Darussalam";"BRN";2021;66055,2483023615;445382;NA;10,481;NA;"Asia";0,000023532607963501;"East Asia & Pacific";0,0000103930241628434;0,00000918766498099212;0,0000115983833446946
"Bhutan";"BTN";2021;11983,3169712681;777500;NA;1,522;NA;"Asia";0,00000195755627009646;"South Asia";0,00000277506494594116;0,00000212758959243057;0,00000342254029945176
"Botswana";"BWA";2021;16304,1533572515;2588424;NA;6,5;NA;"Africa";0,00000251118054847274;"Sub-Saharan Africa";0,00000338380879068711;0,00000277313064919311;0,00000399448693218111
"Central African Republic";"CAF";2021;920,078470147941;5457165;NA;0,227;NA;"Africa";0,0000000415966898563631;"Sub-Saharan Africa";0,00000121641339357962;0,000000416528438622917;0,00000201629834853632
"Canada";"CAN";2021;52085,0356853372;38155012;NA;545,635;NA;"Americas";0,0000143004803667733;"North America";0,00000842482167130881;0,00000750291592507635;0,00000934672741754126
"Switzerland";"CHE";2021;77273,6072371908;8691409;NA;34,932;NA;"Europe";0,00000401914120023577;"Europe & Central Asia";0,0000119735299584068;0,000010522140818576;0,0000134249190982375
"Chile";"CHL";2021;28684,7802666972;19493184;NA;85,447;NA;"Americas";0,00000438342961314068;"Latin America & Caribbean";0,00000512806146585658;0,0000045245245094847;0,00000573159842222845
"China";"CHN";2021;19338,2340845061;1425893504;NA;11472,368;NA;"Asia";0,00000804573971886192;"East Asia & Pacific";0,00000381126722747728;0,00000321645716898523;0,00000440607728596934
"Cote d'Ivoire";"CIV";2021;5850,05192548799;27478250;NA;11,707;NA;"Africa";0,000000426046054606825;"Sub-Saharan Africa";0,00000191097591055771;0,00000118752158900766;0,00000263443023210776
"Cameroon";"CMR";2021;4065,31160958852;27198632;NA;9,297;NA;"Africa";0,000000341818662056239;"Sub-Saharan Africa";0,00000165953161026017;0,000000909751642822921;0,00000240931157769743
"Congo, Dem. Rep.";"COD";2021;1179,49914208545;95894120;NA;2,607;NA;"Africa";0,0000000271862341507488;"Sub-Saharan Africa";0,00000125296204368683;0,000000457372471612726;0,00000204855161576093
"Congo, Rep.";"COG";2021;3553,28798535731;5835814;NA;7,464;NA;"Africa";0,00000127899895370209;"Sub-Saharan Africa";0,00000158739482891238;0,000000829765747956418;0,00000234502390986835
"Colombia";"COL";2021;16819,1762884735;51516560;NA;91,703;NA;"Americas";0,00000178006838965956;"Latin America & Caribbean";0,00000345636813135121;0,00000284899440657155;0,00000406374185613086
"Comoros";"COM";2021;3546,84350218717;821632;NA;0,298;NA;"Africa";0,00000036269278703848;"Sub-Saharan Africa";0,00000158648689370912;0,000000828758217558173;0,00000234421556986006
"Cabo Verde";"CPV";2021;6716,95633050564;587936;NA;0,668;NA;"Africa";0,00000113617808741087;"Sub-Saharan Africa";0,00000203311030154034;0,00000132182557642397;0,0000027443950266567
"Costa Rica";"CRI";2021;23319,502282272;5153959;NA;7,82;NA;"Americas";0,00000151728021119299;"Latin America & Caribbean";0,00000437217078715261;0,00000378442456255069;0,00000495991701175453
"Curacao";"CUW";2021;22832,1941829503;190348;NA;1,844;NA;"Americas";0,00000968751970075861;"Latin America & Caribbean";0,00000430351606860802;0,00000371576853416543;0,00000489126360305061
"Cyprus";"CYP";2021;44109,671875;1244193;NA;7,6;NA;"Asia";0,00000610837707654681;"Europe & Central Asia";0,00000730120735327964;0,00000651978264948802;0,00000808263205707126
"Czechia";"CZE";2021;45093,6577688704;10510748;NA;97,138;NA;"Europe";0,00000924177803520739;"Europe & Central Asia";0,00000743983684597545;0,00000664232682624045;0,00000823734686571044
"Germany";"DEU";2021;57881,0835847199;83408560;NA;674,754;NA;"Europe";0,00000808974522519032;"Europe & Central Asia";0,00000924140164967771;0,0000082061865569584;0,000010276616742397
