"Country Name";"Country Code";"anno";"netsav";"region";"meansav";"diff"
"Albania";"ALB";"1990";-6,32064951083058;"Europe & Central Asia";8,21750859698162;-14,5381581078122
"Argentina";"ARG";"1990";5,84019533835493;"Latin America & Caribbean";9,70433054888924;-3,86413521053431
"Australia";"AUS";"1990";8,98338775046521;"East Asia & Pacific";8,21991341358572;0,763474336879487
"Bangladesh";"BGD";"1990";10,9571619890786;"South Asia";9,83029466925446;1,12686731982414
"Bulgaria";"BGR";"1990";-0,763568489177476;"Europe & Central Asia";8,21750859698162;-8,9810770861591
"Belize";"BLZ";"1990";47,9511793919878;"Latin America & Caribbean";9,70433054888924;38,2468488430986
"Bolivia";"BOL";"1990";-1,08316415339921;"Latin America & Caribbean";9,70433054888924;-10,7874947022884
"Brazil";"BRA";"1990";10,1474563234765;"Latin America & Caribbean";9,70433054888924;0,443125774587264
"Botswana";"BWA";"1990";31,5320876790223;"Sub-Saharan Africa";8,0836509583558;23,4484367206665
"Canada";"CAN";"1990";5,43655555436434;"North America";5,83646626412642;-0,39991070976208
"Chile";"CHL";"1990";4,83625550684036;"Latin America & Caribbean";9,70433054888924;-4,86807504204888
"China";"CHN";"1990";14,6920658605256;"East Asia & Pacific";8,21991341358572;6,47215244693988
"Cameroon";"CMR";"1990";-2,94231892510829;"Sub-Saharan Africa";8,0836509583558;-11,0259698834641
"Colombia";"COL";"1990";5,43813735919208;"Latin America & Caribbean";9,70433054888924;-4,26619318969716
"Comoros";"COM";"1990";1,41685506897215;"Sub-Saharan Africa";8,0836509583558;-6,66679588938365
"Costa Rica";"CRI";"1990";17,524383404715;"Latin America & Caribbean";9,70433054888924;7,82005285582576
"Cyprus";"CYP";"1990";11,2835873473182;"Europe & Central Asia";8,21750859698162;3,06607875033658
"Germany";"DEU";"1990";11,4273899113361;"Europe & Central Asia";8,21750859698162;3,20988131435448
"Denmark";"DNK";"1990";12,6753620477632;"Europe & Central Asia";8,21750859698162;4,45785345078158
"Dominican Republic";"DOM";"1990";10,3402784673652;"Latin America & Caribbean";9,70433054888924;0,635947918475964
"Algeria";"DZA";"1990";7,86768366840873;"Middle East & North Africa";10,060840903162;-2,1931572347533
"Ecuador";"ECU";"1990";4,66884600205696;"Latin America & Caribbean";9,70433054888924;-5,03548454683228
"Egypt, Arab Rep.";"EGY";"1990";10,351321108614;"Middle East & North Africa";10,060840903162;0,290480205451969
"Spain";"ESP";"1990";12,3568516616346;"Europe & Central Asia";8,21750859698162;4,13934306465298
"Finland";"FIN";"1990";11,8607930533009;"Europe & Central Asia";8,21750859698162;3,64328445631928
"Fiji";"FJI";"1990";-3,49661987186631;"East Asia & Pacific";8,21991341358572;-11,716533285452
"France";"FRA";"1990";11,5610563615978;"Europe & Central Asia";8,21750859698162;3,34354776461618
"Ghana";"GHA";"1990";-5,63386221115292;"Sub-Saharan Africa";8,0836509583558;-13,7175131695087
"Guinea";"GIN";"1990";5,43405596790383;"Sub-Saharan Africa";8,0836509583558;-2,64959499045197
"Gambia, The";"GMB";"1990";4,85807137881213;"Sub-Saharan Africa";8,0836509583558;-3,22557957954367
"Guatemala";"GTM";"1990";1,01414604845942;"Latin America & Caribbean";9,70433054888924;-8,69018450042982
"Honduras";"HND";"1990";5,98269576524082;"Latin America & Caribbean";9,70433054888924;-3,72163478364842
"Indonesia";"IDN";"1990";7,49197108323973;"East Asia & Pacific";8,21991341358572;-0,727942330345994
"India";"IND";"1990";7,53752840313218;"South Asia";9,83029466925446;-2,29276626612228
"Italy";"ITA";"1990";9,34836712400638;"Europe & Central Asia";8,21750859698162;1,13085852702476
"Jamaica";"JAM";"1990";11,3534935069287;"Latin America & Caribbean";9,70433054888924;1,64916295803946
"Jordan";"JOR";"1990";14,8549730537389;"Middle East & North Africa";10,060840903162;4,79413215057687
"Korea, Rep.";"KOR";"1990";25,5643195947306;"East Asia & Pacific";8,21991341358572;17,3444061811449
"Sri Lanka";"LKA";"1990";20,2826807758881;"South Asia";9,83029466925446;10,4523861066336
"Morocco";"MAR";"1990";23,2362811234497;"Middle East & North Africa";10,060840903162;13,1754402202877
"Madagascar";"MDG";"1990";22,0875509489591;"Sub-Saharan Africa";8,0836509583558;14,0038999906033
"Mexico";"MEX";"1990";7,26032574666919;"Latin America & Caribbean";9,70433054888924;-2,44400480222005
"Mongolia";"MNG";"1990";-4,53300937846834;"East Asia & Pacific";8,21991341358572;-12,7529227920541
"Mauritania";"MRT";"1990";-2,54153484248082;"Sub-Saharan Africa";8,0836509583558;-10,6251858008366
"Mauritius";"MUS";"1990";23,402142220623;"Sub-Saharan Africa";8,0836509583558;15,3184912622672
"Malaysia";"MYS";"1990";-5,63999872467149;"East Asia & Pacific";8,21991341358572;-13,8599121382572
"Nigeria";"NGA";"1990";32,1528537486666;"Sub-Saharan Africa";8,0836509583558;24,0692027903108
"Netherlands";"NLD";"1990";15,1169336121599;"Europe & Central Asia";8,21750859698162;6,89942501517828
"Norway";"NOR";"1990";8,36171253413443;"Europe & Central Asia";8,21750859698162;0,144203937152806
"Nepal";"NPL";"1990";7,15514122653367;"South Asia";9,83029466925446;-2,67515344272079
"Pakistan";"PAK";"1990";3,21896095163973;"South Asia";9,83029466925446;-6,61133371761473
"Panama";"PAN";"1990";11,9613826258387;"Latin America & Caribbean";9,70433054888924;2,25705207694946
"Philippines";"PHL";"1990";14,5152458535389;"East Asia & Pacific";8,21991341358572;6,29533243995318
"Portugal";"PRT";"1990";15,777202430112;"Europe & Central Asia";8,21750859698162;7,55969383313038
"Romania";"ROU";"1990";-11,3199890851631;"Europe & Central Asia";8,21750859698162;-19,5374976821447
"Saudi Arabia";"SAU";"1990";-6,00605443840117;"Middle East & North Africa";10,060840903162;-16,0668953415632
"Singapore";"SGP";"1990";31,2563177619425;"East Asia & Pacific";8,21991341358572;23,0364043483568
"Solomon Islands";"SLB";"1990";-43,2926685433931;"East Asia & Pacific";8,21991341358572;-51,5125819569788
"El Salvador";"SLV";"1990";7,17492155488863;"Latin America & Caribbean";9,70433054888924;-2,52940899400061
"Sweden";"SWE";"1990";15,2613964758536;"Europe & Central Asia";8,21750859698162;7,04388787887198
"Eswatini";"SWZ";"1990";4,66163976868012;"Sub-Saharan Africa";8,0836509583558;-3,42201118967568
"Thailand";"THA";"1990";21,9694609307436;"East Asia & Pacific";8,21991341358572;13,7495475171579
"Tonga";"TON";"1990";21,3198911605331;"East Asia & Pacific";8,21991341358572;13,0999777469474
"Turkiye";"TUR";"1990";6,63618348067841;"Europe & Central Asia";8,21750859698162;-1,58132511630321
"Uganda";"UGA";"1990";-18,8890317015182;"Sub-Saharan Africa";8,0836509583558;-26,972682659874
"Uruguay";"URY";"1990";4,8587558936127;"Latin America & Caribbean";9,70433054888924;-4,84557465527654
"United States";"USA";"1990";6,2363769738885;"North America";5,83646626412642;0,39991070976208
"Vanuatu";"VUT";"1990";18,0285108992944;"East Asia & Pacific";8,21991341358572;9,80859748570868
"South Africa";"ZAF";"1990";-2,49374312658836;"Sub-Saharan Africa";8,0836509583558;-10,5773940849442
"Zimbabwe";"ZWE";"1990";20,1263474421906;"Sub-Saharan Africa";8,0836509583558;12,0426964838348
"Albania";"ALB";"1991";-39,3780190240471;"Europe & Central Asia";4,68698160333005;-44,0650006273771
"Argentina";"ARG";"1991";5,68277807275674;"Latin America & Caribbean";9,74951941105809;-4,06674133830135
"Australia";"AUS";"1991";5,73071350864798;"East Asia & Pacific";7,68779878167659;-1,95708527302861
"Bangladesh";"BGD";"1991";10,79367757776;"South Asia";10,7084619438598;0,0852156339001766
"Bulgaria";"BGR";"1991";-0,119940969644337;"Europe & Central Asia";4,68698160333005;-4,80692257297439
"Bahamas, The";"BHS";"1991";12,5380039895729;"Latin America & Caribbean";9,74951941105809;2,78848457851481
"Belize";"BLZ";"1991";43,6921315119754;"Latin America & Caribbean";9,74951941105809;33,9426121009173
"Bolivia";"BOL";"1991";0,430874415347779;"Latin America & Caribbean";9,74951941105809;-9,31864499571031
"Brazil";"BRA";"1991";10,4606902394806;"Latin America & Caribbean";9,74951941105809;0,711170828422508
"Botswana";"BWA";"1991";33,3859824322598;"Sub-Saharan Africa";9,23945853679731;24,1465238954625
"Canada";"CAN";"1991";3,92592269365749;"North America";5,14452088152412;-1,21859818786662
"Chile";"CHL";"1991";7,38941761353191;"Latin America & Caribbean";9,74951941105809;-2,36010179752618
"China";"CHN";"1991";18,146232217224;"East Asia & Pacific";7,68779878167659;10,4584334355474
"Cameroon";"CMR";"1991";-0,72321648143761;"Sub-Saharan Africa";9,23945853679731;-9,96267501823492
"Colombia";"COL";"1991";9,53584925082836;"Latin America & Caribbean";9,74951941105809;-0,213670160229732
"Comoros";"COM";"1991";0,787881399997211;"Sub-Saharan Africa";9,23945853679731;-8,4515771368001
"Costa Rica";"CRI";"1991";9,63839824723464;"Latin America & Caribbean";9,74951941105809;-0,111121163823451
"Cyprus";"CYP";"1991";5,36907599423829;"Europe & Central Asia";4,68698160333005;0,68209439090824
"Germany";"DEU";"1991";10,7824162472906;"Europe & Central Asia";4,68698160333005;6,09543464396055
"Denmark";"DNK";"1991";10,0895864960701;"Europe & Central Asia";4,68698160333005;5,40260489274005
"Dominican Republic";"DOM";"1991";8,05031476520328;"Latin America & Caribbean";9,74951941105809;-1,69920464585481
"Algeria";"DZA";"1991";18,6163833393727;"Middle East & North Africa";9,89666020320462;8,71972313616808
"Ecuador";"ECU";"1991";8,92253115155608;"Latin America & Caribbean";9,74951941105809;-0,826988259502011
"Egypt, Arab Rep.";"EGY";"1991";16,956551991481;"Middle East & North Africa";9,89666020320462;7,05989178827638
"Spain";"ESP";"1991";11,949226153914;"Europe & Central Asia";4,68698160333005;7,26224455058395
"Finland";"FIN";"1991";3,97620452949971;"Europe & Central Asia";4,68698160333005;-0,71077707383034
"Fiji";"FJI";"1991";-2,08432070289208;"East Asia & Pacific";7,68779878167659;-9,77211948456867
"France";"FRA";"1991";10,9897259787542;"Europe & Central Asia";4,68698160333005;6,30274437542415
"Ghana";"GHA";"1991";-3,21451380423354;"Sub-Saharan Africa";9,23945853679731;-12,4539723410309
"Guinea";"GIN";"1991";6,71171396648444;"Sub-Saharan Africa";9,23945853679731;-2,52774457031287
"Gambia, The";"GMB";"1991";-6,13285599270373;"Sub-Saharan Africa";9,23945853679731;-15,372314529501
"Guatemala";"GTM";"1991";3,57013136009565;"Latin America & Caribbean";9,74951941105809;-6,17938805096244
"Honduras";"HND";"1991";6,20095531610384;"Latin America & Caribbean";9,74951941105809;-3,54856409495425
"Indonesia";"IDN";"1991";10,8423822246548;"East Asia & Pacific";7,68779878167659;3,15458344297821
"India";"IND";"1991";6,93803936339399;"South Asia";10,7084619438598;-3,77042258046583
"Italy";"ITA";"1991";8,33068507623301;"Europe & Central Asia";4,68698160333005;3,64370347290296
"Jamaica";"JAM";"1991";10,0478534037441;"Latin America & Caribbean";9,74951941105809;0,298333992686008
"Jordan";"JOR";"1991";6,3939298686262;"Middle East & North Africa";9,89666020320462;-3,50273033457842
"Korea, Rep.";"KOR";"1991";25,9056819983082;"East Asia & Pacific";7,68779878167659;18,2178832166316
"Sri Lanka";"LKA";"1991";19,8738607030809;"South Asia";10,7084619438598;9,16539875922108
"Morocco";"MAR";"1991";18,9146909975132;"Middle East & North Africa";9,89666020320462;9,01803079430858
"Madagascar";"MDG";"1991";14,3443028981899;"Sub-Saharan Africa";9,23945853679731;5,10484436139259
"Mexico";"MEX";"1991";7,62277258102262;"Latin America & Caribbean";9,74951941105809;-2,12674683003547
"Mongolia";"MNG";"1991";10,3526268532327;"East Asia & Pacific";7,68779878167659;2,66482807155611
"Mauritania";"MRT";"1991";9,9240945595447;"Sub-Saharan Africa";9,23945853679731;0,684636022747391
"Mauritius";"MUS";"1991";24,422144580299;"Sub-Saharan Africa";9,23945853679731;15,1826860435017
"Malaysia";"MYS";"1991";-2,72168481562394;"East Asia & Pacific";7,68779878167659;-10,4094835973005
"Namibia";"NAM";"1991";19,0310963371014;"Sub-Saharan Africa";9,23945853679731;9,79163780030409
"Nigeria";"NGA";"1991";33,5192128061894;"Sub-Saharan Africa";9,23945853679731;24,2797542693921
"Netherlands";"NLD";"1991";14,5366349259711;"Europe & Central Asia";4,68698160333005;9,84965332264105
"Norway";"NOR";"1991";9,6465596372788;"Europe & Central Asia";4,68698160333005;4,95957803394875
"Nepal";"NPL";"1991";8,4483298235285;"South Asia";10,7084619438598;-2,26013212033132
"Pakistan";"PAK";"1991";7,48840225153573;"South Asia";10,7084619438598;-3,22005969232409
"Panama";"PAN";"1991";7,35233474153876;"Latin America & Caribbean";9,74951941105809;-2,39718466951933
"Philippines";"PHL";"1991";13,0316852575858;"East Asia & Pacific";7,68779878167659;5,34388647590921
"Portugal";"PRT";"1991";14,0547414989375;"Europe & Central Asia";4,68698160333005;9,36775989560745
"Romania";"ROU";"1991";-5,85679912351821;"Europe & Central Asia";4,68698160333005;-10,5437807268483
"Saudi Arabia";"SAU";"1991";-11,39825518097;"Middle East & North Africa";9,89666020320462;-21,2949153841746
"Singapore";"SGP";"1991";32,8070332683417;"East Asia & Pacific";7,68779878167659;25,1192344866651
"Solomon Islands";"SLB";"1991";-54,7155940094934;"East Asia & Pacific";7,68779878167659;-62,40339279117
"El Salvador";"SLV";"1991";7,63671931106339;"Latin America & Caribbean";9,74951941105809;-2,1128000999947
"Sweden";"SWE";"1991";12,5412514990928;"Europe & Central Asia";4,68698160333005;7,85426989576275
"Eswatini";"SWZ";"1991";4,35947182135539;"Sub-Saharan Africa";9,23945853679731;-4,87998671544192
"Thailand";"THA";"1991";23,3273960114635;"East Asia & Pacific";7,68779878167659;15,6395972297869
"Tonga";"TON";"1991";5,16770947942347;"East Asia & Pacific";7,68779878167659;-2,52008930225312
"Turkiye";"TUR";"1991";3,39337512988029;"Europe & Central Asia";4,68698160333005;-1,29360647344976
"Uganda";"UGA";"1991";-21,004374001874;"Sub-Saharan Africa";9,23945853679731;-30,2438325386713
"Uruguay";"URY";"1991";6,97007401693152;"Latin America & Caribbean";9,74951941105809;-2,77944539412657
"United States";"USA";"1991";6,36311906939074;"North America";5,14452088152412;1,21859818786662
"Vanuatu";"VUT";"1991";14,1515228709229;"East Asia & Pacific";7,68779878167659;6,46372408924631
"South Africa";"ZAF";"1991";-0,649798336945708;"Sub-Saharan Africa";9,23945853679731;-9,88925687374302
"Zimbabwe";"ZWE";"1991";23,830735867733;"Sub-Saharan Africa";9,23945853679731;14,5912773309357
"Albania";"ALB";"1992";-44,6670575016304;"Europe & Central Asia";3,70426896159388;-48,3713264632243
"Argentina";"ARG";"1992";6,68680353360742;"Latin America & Caribbean";9,16942350841829;-2,48261997481087
"Australia";"AUS";"1992";3,165826936268;"East Asia & Pacific";11,3661706440467;-8,20034370777867
"Bangladesh";"BGD";"1992";10,2689572294306;"South Asia";11,7004569384409;-1,43149970901028
"Bulgaria";"BGR";"1992";-3,23064055220914;"Europe & Central Asia";3,70426896159388;-6,93490951380302
"Bahamas, The";"BHS";"1992";16,8011712501726;"Latin America & Caribbean";9,16942350841829;7,63174774175431
"Belize";"BLZ";"1992";14,0250017302918;"Latin America & Caribbean";9,16942350841829;4,85557822187351
"Bolivia";"BOL";"1992";-0,0018018294452268;"Latin America & Caribbean";9,16942350841829;-9,17122533786351
"Brazil";"BRA";"1992";12,4995665728826;"Latin America & Caribbean";9,16942350841829;3,33014306446431
"Botswana";"BWA";"1992";28,9530311591583;"Sub-Saharan Africa";8,54402042870601;20,4090107304523
"Canada";"CAN";"1992";2,58455028947416;"North America";4,49710122275436;-1,9125509332802
"Chile";"CHL";"1992";7,90585670691266;"Latin America & Caribbean";9,16942350841829;-1,26356680150563
"China";"CHN";"1992";20,8805249769337;"East Asia & Pacific";11,3661706440467;9,51435433288703
"Cameroon";"CMR";"1992";-5,97619678500301;"Sub-Saharan Africa";8,54402042870601;-14,520217213709
"Colombia";"COL";"1992";7,62699204638311;"Latin America & Caribbean";9,16942350841829;-1,54243146203518
"Comoros";"COM";"1992";2,0341400069815;"Sub-Saharan Africa";8,54402042870601;-6,50988042172451
"Costa Rica";"CRI";"1992";11,3002408010609;"Latin America & Caribbean";9,16942350841829;2,13081729264261
"Cyprus";"CYP";"1992";7,07839972335391;"Europe & Central Asia";3,70426896159388;3,37413076176003
"Germany";"DEU";"1992";10,5375783413731;"Europe & Central Asia";3,70426896159388;6,83330937977922
"Denmark";"DNK";"1992";12,326029644628;"Europe & Central Asia";3,70426896159388;8,62176068303412
"Dominican Republic";"DOM";"1992";6,78155023353069;"Latin America & Caribbean";9,16942350841829;-2,3878732748876
"Ecuador";"ECU";"1992";10,8571108583451;"Latin America & Caribbean";9,16942350841829;1,68768734992681
"Egypt, Arab Rep.";"EGY";"1992";18,4026627743762;"Middle East & North Africa";11,6925865904638;6,71007618391236
"Spain";"ESP";"1992";10,4055242011993;"Europe & Central Asia";3,70426896159388;6,70125523960542
"Finland";"FIN";"1992";1,65460125374681;"Europe & Central Asia";3,70426896159388;-2,04966770784707
"Fiji";"FJI";"1992";1,64515265286424;"East Asia & Pacific";11,3661706440467;-9,72101799118243
"France";"FRA";"1992";10,4700667610683;"Europe & Central Asia";3,70426896159388;6,76579779947442
"Ghana";"GHA";"1992";-9,50233324519768;"Sub-Saharan Africa";8,54402042870601;-18,0463536739037
"Guinea";"GIN";"1992";8,98563524723361;"Sub-Saharan Africa";8,54402042870601;0,441614818527603
"Gambia, The";"GMB";"1992";-5,8530124395022;"Sub-Saharan Africa";8,54402042870601;-14,3970328682082
"Guatemala";"GTM";"1992";2,69955484685496;"Latin America & Caribbean";9,16942350841829;-6,46986866156333
"Honduras";"HND";"1992";5,48579364032825;"Latin America & Caribbean";9,16942350841829;-3,68362986809004
"Indonesia";"IDN";"1992";12,054443442803;"East Asia & Pacific";11,3661706440467;0,688272798756332
"India";"IND";"1992";8,59569225393421;"South Asia";11,7004569384409;-3,10476468450667
"Italy";"ITA";"1992";8,25340943520713;"Europe & Central Asia";3,70426896159388;4,54914047361325
"Jamaica";"JAM";"1992";17,2620505646204;"Latin America & Caribbean";9,16942350841829;8,09262705620211
"Jordan";"JOR";"1992";10,213255249848;"Middle East & North Africa";11,6925865904638;-1,47933134061584
"Korea, Rep.";"KOR";"1992";25,2975255462186;"East Asia & Pacific";11,3661706440467;13,9313549021719
"Sri Lanka";"LKA";"1992";20,4318070950004;"South Asia";11,7004569384409;8,73135015655952
"Morocco";"MAR";"1992";19,3469247626167;"Middle East & North Africa";11,6925865904638;7,65433817215286
"Madagascar";"MDG";"1992";21,2389741516725;"Sub-Saharan Africa";8,54402042870601;12,6949537229665
"Mexico";"MEX";"1992";6,60834464505983;"Latin America & Caribbean";9,16942350841829;-2,56107886335846
"Mongolia";"MNG";"1992";16,4291962950643;"East Asia & Pacific";11,3661706440467;5,06302565101763
"Mauritania";"MRT";"1992";7,27383826724116;"Sub-Saharan Africa";8,54402042870601;-1,27018216146485
"Mauritius";"MUS";"1992";25,1157940853812;"Sub-Saharan Africa";8,54402042870601;16,5717736566752
"Malaysia";"MYS";"1992";0,519012152616402;"East Asia & Pacific";11,3661706440467;-10,8471584914303
"Namibia";"NAM";"1992";23,1114049840361;"Sub-Saharan Africa";8,54402042870601;14,5673845553301
